RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS
50,45,Michael Allen,73,.292,16.927,58
51,59,J.B. Holmes,74,.291,17.773,61
52,52,Kris Blanks,60,.284,13.339,47
53,38,Cameron Beckman,87,.283,21.203,75
54,53,Kevin Na,91,.273,21.280,78
55,54,Phil Mickelson,66,.268,12.870,48
56,62,Patrick Sheehan,51,.266,10.372,39
57,55,Tommy Armour III,58,.264,13.718,52
58,56,Jimmy Walker,74,.263,16.802,64
59,57,Ian Poulter,59,.240,10.061,42
60,58,Marc Leishman,91,.239,20.097,84
61,64,Stephen Ames,77,.236,13.448,57
62,60,Charley Hoffman,97,.235,20.462,87
63,61,Mike Weir,85,.229,15.357,67
64,65,Kevin Stadler,65,.213,11.507,54
65,74,D.A. Points,99,.211,18.177,86
66,67,Chris DiMarco,97,.207,17.979,87
67,69,George McNeill,82,.203,15.392,76
68,63,Spencer Levin,75,.196,13.102,67
69,68,Jay Williamson,69,.195,11.126,57
70,70,Lee Janzen,74,.184,11.208,61
71,75,Charles Warren,63,.183,9.693,53
72,71,Stuart Appleby,79,.179,11.620,65
73,72,Retief Goosen,74,.178,9.991,56
74,73,Dustin Johnson,85,.175,11.212,64
75,66,Corey Pavin,73,.170,9.157,54
76,75,Jerry Kelly,90,.165,12.682,77
77,77,Scott Sterling,51,.162,6.479,40
78,82,Charles Howell III,99,.141,11.697,83
79,80,Lucas Glover,93,.138,10.908,79
80,81,Bob Estes,78,.131,9.015,69
81,83,J.J. Henry,97,.125,10.481,84
82,86,Scott Piercy,85,.111,8.444,76
83,85,Anthony Kim,76,.100,6.020,60
84,90,Nicholas Thompson,96,.096,8.352,87
84,87,Steve Elkington,70,.096,5.955,62
86,91,Justin Rose,71,.093,5.289,57
87,99,Johnson Wagner,81,.090,6.649,74
88,78,Harrison Frazar,93,.089,7.514,84
89,101,Will MacKenzie,69,.088,5.385,61
90,89,Bo Van Pelt,100,.082,6.690,82
91,84,Jeff Quinney,78,.064,4.536,71
92,93,Matt Kuchar,82,.052,3.677,71
93,88,Cliff Kresge,78,.047,3.169,67
94,93,Tim Petrovic,97,.044,3.778,86
95,106,Brian Davis,103,.038,3.469,91
96,96,Bubba Watson,73,.037,2.100,57
97,92,Brendon de Jonge,90,.034,2.676,79
98,98,Jason Day,61,.031,1.545,50
99,93,Brandt Snedeker,81,.030,1.960,65
100,100,Rod Pampling,72,.023,1.497,64
101,102,Ryan Moore,89,.017,1.279,75
102,114,Greg Kraft,51,.016,.657,41
103,104,Kevin Sutherland,96,.013,.972,73
104,103,Tom Pernice Jr.,82,.006,.438,75
105,108,K.J. Choi,65,-.002,-.110,50
106,109,Vaughn Taylor,88,-.004,-.338,79
107,111,Bryce Molder,69,-.005,-.290,54
108,113,Billy Mayfair,83,-.010,-.690,69
109,97,Kevin Streelman,97,-.012,-1.051,87
110,127,Rich Beem,77,-.019,-1.091,58
111,115,Geoff Ogilvy,78,-.020,-1.134,58
112,116,Gary Woodland,53,-.021,-.782,37
113,119,Kirk Triplett,60,-.027,-1.483,55
114,120,Bill Lunde,83,-.029,-2.146,75
115,130,Brian Gay,96,-.032,-2.597,82
116,122,Bart Bryant,58,-.033,-1.733,52
117,117,John Mallinger,90,-.034,-2.447,71
118,117,Charlie Wi,92,-.036,-2.880,79
118,123,Mathew Goggin,76,-.036,-2.137,60
120,124,Ben Crane,93,-.038,-3.059,80
121,112,Ken Duke,87,-.040,-2.834,71
122,125,Stewart Cink,79,-.041,-2.427,59
123,126,Adam Scott,53,-.045,-1.905,42
124,132,Darron Stiles,52,-.049,-2.058,42
125,109,Jeff Overton,92,-.056,-4.257,76
125,131,Aron Price,89,-.056,-4.288,77
125,129,Casey Wittenberg,71,-.056,-3.027,54
128,105,Freddie Jacobson,83,-.069,-5.046,73
129,121,Mark Calcavecchia,72,-.070,-4.367,62
130,107,Matt Jones,56,-.078,-3.520,45
131,128,Richard Johnson,85,-.080,-5.908,74
132,134,John Merrick,91,-.082,-5.581,68
133,133,Troy Matteson,95,-.087,-7.633,88
134,135,Chez Reavie,81,-.109,-7.598,70
135,149,Bill Haas,91,-.126,-10.334,82
136,137,Pat Perez,74,-.129,-7.984,62
137,139,Ryan Palmer,78,-.150,-10.507,70
138,140,Nathan Green,104,-.153,-14.079,92
139,144,Jason Gore,74,-.163,-10.122,62
140,146,Rick Price,54,-.168,-6.871,41
141,142,Michael Letzig,96,-.169,-14.502,86
142,143,Mark Wilson,99,-.174,-15.352,88
143,147,Greg Chalmers,85,-.186,-13.190,71
144,148,Tag Ridings,50,-.190,-7.777,41
145,150,Jeff Maggert,79,-.192,-14.039,73
146,145,Ted Purdy,101,-.220,-19.554,89
147,155,Webb Simpson,94,-.223,-19.382,87
148,153,Jeff Klauk,97,-.243,-21.387,88
148,152,Tim Herron,87,-.243,-19.700,81
150,158,Chris Riley,77,-.246,-16.458,67
151,156,Ryuji Imada,85,-.252,-17.404,69
152,151,Glen Day,79,-.263,-16.848,64
153,162,David Duval,56,-.266,-11.707,44
154,157,Matt Bettencourt,98,-.267,-23.253,87
155,154,Peter Lonard,86,-.269,-20.712,77
156,159,Mark Brooks,55,-.277,-11.078,40
157,160,David Mathis,82,-.286,-19.740,69
158,161,Joe Ogilvie,85,-.287,-22.092,77
159,164,Steve Lowery,83,-.314,-24.207,77
160,165,Bob Heintz,59,-.335,-17.092,51
161,163,Daniel Chopra,89,-.345,-28.641,83
162,166,Brad Adamonis,70,-.379,-23.109,61
163,167,Leif Olson,51,-.399,-17.171,43
164,168,Carl Pettersson,86,-.423,-31.338,74
165,170,John Rollins,92,-.449,-35.483,79
166,177,Kent Jones,73,-.462,-28.210,61
167,171,Scott McCarron,91,-.485,-39.261,81
168,169,Brian Bateman,55,-.486,-23.324,48
169,172,Aaron Baddeley,66,-.507,-29.417,58
170,173,Martin Laird,72,-.509,-31.527,62
171,174,James Nitties,86,-.512,-38.910,76
171,176,Todd Hamilton,83,-.512,-32.744,64
173,175,Andres Romero,58,-.521,-22.385,43
174,180,Colt Knost,71,-.562,-31.451,56
175,183,Derek Fathauer,63,-.568,-28.958,51
176,181,Peter Tomasulo,61,-.573,-26.346,46
177,179,Jarrod Lyle,65,-.601,-30.074,50
178,178,Marc Turnesa,77,-.616,-43.709,71
179,182,Brian Vranesh,51,-.630,-27.082,43
180,184,Ben Curtis,63,-.642,-30.163,47
181,185,Brendon Todd,53,-.710,-33.392,47
182,186,Eric Axley,71,-.804,-47.408,59
183,187,Parker McLachlin,71,-.976,-65.383,67
184,188,Brad Faxon,59,-1.428,-74.275,52
