RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES
39,39,Greg Owen,85,297.7,"45,851",154
40,40,Rhein Gibson,58,297.5,"32,126",108
41,41,Patrick Reed,105,297.4,"55,324",186
42,42,Stewart Cink,61,296.9,"33,842",114
43,43,Scott Pinckney,87,296.8,"48,085",162
44,46,Charl Schwartzel,73,296.7,"39,161",132
45,44,Chesson Hadley,81,296.5,"44,174",149
46,48,Kevin Chappell,93,296.3,"52,737",178
47,45,Nick Taylor,83,296.2,"44,429",150
48,49,Branden Grace,63,295.6,"30,742",104
48,49,Russell Henley,76,295.6,"44,929",152
50,51,Scott Stallings,74,295.5,"41,368",140
51,54,Jordan Spieth,80,295.4,"42,543",144
52,52,Brett Stegmaier,87,295.3,"49,902",169
52,52,Seung-Yul Noh,85,295.3,"47,834",162
54,64,Paul Casey,77,295.2,"38,966",132
55,55,Marc Leishman,89,295.0,"46,020",156
56,56,Matt Jones,83,294.8,"42,153",143
56,56,Hunter Mahan,61,294.8,"33,612",114
56,66,Phil Mickelson,75,294.8,"42,456",144
59,58,Andres Gonzales,80,294.7,"45,980",156
59,58,Andrew Landry,53,294.7,"28,876",98
59,58,Robert Streb,87,294.7,"44,496",151
59,58,Wes Roach,59,294.7,"32,415",110
63,62,Derek Ernst,59,294.6,"33,585",114
63,62,Ángel Cabrera,62,294.6,"36,530",124
65,64,Hideki Matsuyama,76,294.5,"39,467",134
66,66,Morgan Hoffmann,71,294.4,"37,100",126
67,68,Emiliano Grillo,93,294.3,"50,626",172
68,69,Louis Oosthuizen,63,294.0,"30,571",104
69,70,Si Woo Kim,113,293.5,"63,684",217
70,73,Jason Dufner,105,293.2,"57,471",196
71,71,Bronson Burgoon,83,293.1,"46,018",157
72,72,Billy Horschel,73,293.0,"41,020",140
73,73,Will Wilcox,67,292.9,"38,080",130
74,75,Ernie Els,66,292.8,"36,310",124
75,77,Brandt Snedeker,93,292.6,"52,078",178
76,76,Scott Brown,88,292.5,"49,144",168
77,77,Sung Kang,89,292.4,"50,873",174
78,79,Shawn Stefani,91,292.1,"50,817",174
79,80,Steve Marino,72,292.0,"39,415",135
80,81,Geoff Ogilvy,63,291.9,"34,439",118
81,82,Sam Saunders,69,291.8,"37,940",130
82,83,Anirban Lahiri,72,291.7,"35,587",122
82,83,Aaron Baddeley,93,291.7,"51,925",178
84,85,Boo Weekley,83,291.5,"48,383",166
85,86,Michael Thompson,71,291.4,"39,340",135
86,87,Patton Kizzire,93,291.3,"51,848",178
87,88,Jim Herman,93,291.1,"51,815",178
88,89,James Hahn,85,290.9,"46,543",160
89,90,Thomas Aiken,70,290.5,"36,016",124
90,92,Jonas Blixt,79,290.3,"44,126",152
91,93,Dawie van der Walt,72,290.2,"40,622",140
92,94,Adam Hadwin,93,290.1,"53,672",185
93,95,Kelly Kraft,63,289.8,"33,906",117
93,95,Vijay Singh,72,289.8,"41,732",144
95,97,John Senden,88,289.7,"47,215",163
95,97,Brian Harman,104,289.7,"57,648",199
97,99,Bill Haas,86,289.6,"47,495",164
97,99,Padraig Harrington,54,289.6,"28,960",100
97,99,Blayne Barber,84,289.6,"46,331",160
100,102,Tom Hoge,81,289.5,"44,584",154
101,103,Johnson Wagner,86,289.4,"49,779",172
102,104,Luke Guthrie,57,289.3,"31,822",110
103,105,Jason Gore,78,289.2,"40,486",140
104,106,Kevin Streelman,82,289.1,"47,406",164
105,107,Fabián Gómez,82,289.0,"45,664",158
105,112,Kevin Kisner,97,289.0,"49,704",172
107,108,Steven Bowditch,71,288.9,"36,398",126
108,109,Hiroshi Iwata,85,288.8,"45,339",157
108,109,Retief Goosen,55,288.8,"31,764",110
108,109,Ben Martin,92,288.8,"48,520",168
111,113,Derek Fathauer,94,288.2,"54,190",188
112,114,Kyle Stanley,92,288.1,"51,001",177
112,114,Henrik Norlander,71,288.1,"38,316",133
114,116,Tyrone Van Aswegen,105,288.0,"58,178",202
114,116,Daniel Summerhays,99,288.0,"52,423",182
116,118,Chad Campbell,90,287.9,"49,522",172
117,119,Rod Pampling,54,287.7,"28,768",100
118,120,Ricky Barnes,97,287.6,"53,488",186
118,120,Rory Sabbatini,57,287.6,"28,762",100
118,124,William McGirt,98,287.6,"56,373",196
118,120,Whee Kim,82,287.6,"44,870",156
122,123,Brendon de Jonge,83,287.5,"44,273",154
123,125,J.J. Henry,68,287.3,"37,930",132
123,125,Chez Reavie,90,287.3,"49,411",172
123,125,Kyle Reifers,115,287.3,"61,187",213
126,128,Troy Merritt,77,287.2,"41,924",146
127,129,Camilo Villegas,83,287.0,"45,349",158
127,129,Vaughn Taylor,72,287.0,"41,325",144
129,131,Francesco Molinari,64,286.7,"36,692",128
130,132,Martin Piller,59,286.6,"32,388",113
130,132,Danny Lee,93,286.6,"48,149",168
132,134,Chris Stroud,82,286.3,"45,813",160
132,134,Webb Simpson,70,286.3,"40,075",140
132,134,Cameron Smith,73,286.3,"34,930",122
135,137,Steve Wheatcroft,85,286.2,"46,371",162
136,139,Chris Kirk,90,285.9,"46,313",162
137,141,Russell Knox,92,285.8,"46,292",162
137,138,Matt Kuchar,100,285.8,"54,876",192
139,140,Scott Langley,65,285.7,"35,999",126
140,141,Will MacKenzie,84,285.6,"45,699",160
141,143,Tyler Aldridge,83,285.2,"45,059",158
142,144,Cameron Tringale,81,285.1,"41,621",146
143,145,Jeff Overton,69,285.0,"37,050",130
144,146,David Lingmerth,84,284.8,"41,580",146
145,147,John Huh,86,284.7,"48,394",170
145,147,Erik Compton,65,284.7,"35,868",126
147,149,George McNeill,51,284.5,"29,022",102
148,150,Michael Kim,100,284.3,"54,595",192
149,151,Roberto Castro,97,284.2,"55,136",194
150,155,Ryan Moore,86,283.2,"43,615",154
151,153,Luke Donald,81,282.9,"41,306",146
152,154,Stuart Appleby,71,282.7,"39,010",138
153,156,D.A. Points,55,282.3,"28,791",102
154,157,Robert Allenby,51,282.2,"28,782",102
155,158,Alex Cejka,71,281.5,"35,475",126
156,159,Graeme McDowell,63,281.4,"33,773",120
157,160,Spencer Levin,104,281.3,"54,019",192
158,161,David Hearn,95,281.2,"51,186",182
158,161,Rob Oppenheim,67,281.2,"35,156",125
160,163,Jim Furyk,52,280.8,"29,203",104
161,164,D.H. Lee,61,280.4,"31,971",114
162,165,Freddie Jacobson,86,280.3,"48,219",172
162,165,Ben Crane,80,280.3,"40,362",144
164,167,Bryce Molder,80,280.2,"43,709",156
164,167,Ken Duke,58,280.2,"30,257",108
164,167,Mark Hubbard,101,280.2,"54,354",194
167,170,Brendon Todd,66,280.1,"35,290",126
167,170,Zach Johnson,90,280.1,"48,185",172
169,172,Peter Malnati,85,279.7,"47,549",170
170,173,Kevin Na,96,279.6,"47,531",170
171,174,Tim Wilkinson,72,279.3,"37,981",136
171,174,Chad Collins,73,279.3,"40,776",146
173,176,Dicky Pride,55,278.9,"29,561",106
174,177,Jerry Kelly,76,278.2,"40,063",144
175,178,Steve Stricker,53,278.0,"29,471",106
176,179,Billy Hurley III,66,277.7,"36,657",132
176,179,Brian Stuard,66,277.7,"36,657",132
178,181,Abraham Ancer,51,276.4,"26,534",96
179,182,Jason Bohn,67,276.3,"37,020",134
180,183,K.J. Choi,73,275.3,"40,190",146
180,183,Zac Blair,99,275.3,"50,113",182
182,185,Mark Wilson,66,274.7,"34,063",124
183,186,Jon Curran,99,271.9,"51,654",190
184,187,Colt Knost,90,269.7,"44,236",164
184,187,David Toms,62,269.7,"33,439",124
