RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION,GIR RANK
67,66,Robert Damron,85,1.761,"1,622",921,30.47,
71,71,David Frost,90,1.762,"1,788","1,015",28.08,
71,71,Frank Lickliter II,94,1.762,"1,852","1,051",30.44,
73,73,Esteban Toledo,106,1.763,"2,012","1,141",28.33,
73,66,Jeff Sluman,118,1.763,"2,567","1,456",28.40,
75,75,Andrew Magee,91,1.764,"1,773","1,005",29.47,
75,73,Kenny Perry,98,1.764,"2,135","1,210",32.20,
75,75,Lee Janzen,101,1.764,"1,993","1,130",31.85,
75,75,Brandel Chamblee,85,1.764,"1,748",991,28.46,
75,75,Paul Stankowski,100,1.764,"1,962","1,112",31.80,
75,75,Kaname Yokoo,74,1.764,"1,367",775,29.92,
81,81,Tommy Tolles,64,1.765,"1,285",728,31.08,
82,82,Brett Quigley,93,1.766,"1,842","1,043",31.06,
82,82,Deane Pappas,90,1.766,"1,695",960,29.61,
82,92,Tiger Woods,69,1.766,"1,505",852,33.49,
85,86,Tripp Isenhour,68,1.767,"1,417",802,31.38,
85,86,John Riegger,88,1.767,"1,854","1,049",28.84,
85,82,Rich Beem,99,1.767,"2,020","1,143",31.49,
88,88,Craig Parry,69,1.768,"1,443",816,28.83,
88,88,Bob Estes,93,1.768,"1,853","1,048",28.46,
88,88,Steve Flesch,110,1.768,"2,236","1,265",31.27,
88,82,Jerry Kelly,99,1.768,"2,008","1,136",29.33,
88,88,Greg Kraft,86,1.768,"1,681",951,28.84,
93,92,Brad Elder,76,1.769,"1,502",849,28.42,
93,92,Harrison Frazar,88,1.769,"1,808","1,022",31.15,
95,95,Stephen Ames,89,1.770,"1,754",991,29.76,
95,95,Brian Henninger,66,1.770,"1,379",779,28.99,
97,98,Robert Allenby,96,1.771,"2,060","1,163",30.66,
97,97,Donnie Hammond,60,1.771,"1,291",729,30.22,
99,98,Mark O'Meara,68,1.772,"1,269",716,27.13,
99,98,Jay Williamson,91,1.772,"1,905","1,075",27.61,
99,98,Frank Nobilo,94,1.772,"1,951","1,101",28.53,
99,98,Jonathan Kaye,83,1.772,"1,644",928,28.65,
103,104,Craig Barlow,62,1.773,"1,229",693,29.00,
103,104,Briny Baird,110,1.773,"2,326","1,312",29.62,
103,104,Matt Gogel,79,1.773,"1,535",866,28.64,
103,104,Chad Campbell,111,1.773,"2,406","1,357",29.37,
103,104,Joey Sindelar,104,1.773,"2,248","1,268",29.44,
103,104,Bob Tway,103,1.773,"2,065","1,165",27.39,
103,104,Steve Elkington,82,1.773,"1,500",846,27.76,
110,111,Steve Lowery,98,1.774,"1,957","1,103",30.36,
110,111,J.L. Lewis,98,1.774,"2,111","1,190",31.17,
112,113,Stewart Cink,92,1.775,"1,793","1,010",30.62,
113,114,Matt Kuchar,82,1.776,"1,645",926,28.60,
114,115,José Coceres,51,1.777,938,528,26.72,
114,98,Jim Furyk,88,1.777,"1,903","1,071",27.03,
114,115,Per-Ulrik Johansson,87,1.777,"1,834","1,032",29.45,
114,115,Neal Lancaster,101,1.777,"1,996","1,123",28.04,
118,118,Bob May,91,1.778,"1,952","1,098",28.02,
118,118,Notah Begay III,76,1.778,"1,577",887,30.06,
118,120,Charles Howell III,118,1.778,"2,475","1,392",31.41,
121,120,Mike Weir,94,1.779,"1,959","1,101",31.15,
121,120,Bart Bryant,69,1.779,"1,473",828,28.69,
123,123,Mark Brooks,97,1.780,"1,871","1,051",27.36,
123,123,Tom Pernice Jr.,101,1.780,"2,052","1,153",29.34,
123,123,Carl Paulson,84,1.780,"1,700",955,29.91,
123,123,Mathew Goggin,64,1.780,"1,344",755,30.33,
127,127,Jim Carter,98,1.781,"1,915","1,075",28.24,
127,127,Bernhard Langer,55,1.781,"1,026",576,27.43,
127,127,Lee Porter,91,1.781,"1,767",992,27.42,
130,130,Mike Hulbert,55,1.782,"1,032",579,26.17,
130,130,Peter Jacobsen,67,1.782,"1,429",802,26.57,
132,132,Dennis Paulson,89,1.783,"1,815","1,018",29.56,
132,132,David Morland IV,58,1.783,"1,173",658,29.53,
132,132,Edward Fryatt,94,1.783,"1,861","1,044",28.38,
132,132,Miguel Angel Jiménez,60,1.783,"1,123",630,28.34,
136,136,Brent Geiberger,95,1.784,"1,975","1,107",29.66,
136,136,Dicky Pride,51,1.784,"1,108",621,26.73,
138,138,Franklin Langham,72,1.785,"1,387",777,26.80,
138,138,Michael Clark II,97,1.785,"2,004","1,123",28.07,
138,138,Carlos Franco,107,1.785,"2,296","1,286",28.71,
138,138,Heath Slocum,96,1.785,"1,922","1,077",27.44,
138,138,Luke Donald,106,1.785,"2,261","1,267",27.63,
143,143,"David Berganio, Jr.",80,1.786,"1,741",975,27.52,
143,157,Len Mattiace,106,1.786,"2,156","1,207",29.02,
145,144,Billy Mayfair,99,1.787,"1,968","1,101",27.00,
145,144,Tim Petrovic,92,1.787,"1,875","1,049",28.49,
145,144,Woody Austin,102,1.787,"1,984","1,110",28.36,
145,144,Bo Van Pelt,78,1.787,"1,621",907,29.65,
145,144,Paul Claxton,83,1.787,"1,712",958,27.06,
150,149,Jeff Gove,89,1.788,"1,908","1,067",26.34,
150,149,Brandt Jobe,94,1.788,"2,088","1,168",28.01,
150,149,Jesper Parnevik,85,1.788,"1,665",931,28.59,
150,149,Tom Byrum,77,1.788,"1,638",916,26.62,
154,153,Steve Jones,71,1.789,"1,317",736,27.21,
154,153,Michael Long,71,1.789,"1,531",856,27.49,
154,153,Garrett Willis,80,1.789,"1,574",880,30.07,
154,153,Joe Ogilvie,50,1.789,959,536,27.53,
158,157,David Gossett,95,1.790,"2,042","1,141",30.03,
158,157,Steve Pate,64,1.790,"1,337",747,27.98,
158,157,Brian Watts,58,1.790,"1,065",595,26.35,
158,157,Craig Perks,91,1.790,"1,654",924,30.51,
162,162,Tom Scherrer,98,1.792,"1,987","1,109",27.08,
162,162,Shaun Micheel,100,1.792,"2,229","1,244",27.63,
162,162,Michael Muehr,73,1.792,"1,419",792,27.05,
165,165,Matt Peterson,80,1.793,"1,739",970,24.97,
165,165,Glen Hnatiuk,95,1.793,"2,085","1,163",27.28,
165,165,Mike Sposa,111,1.793,"2,270","1,266",26.74,
165,165,Robin Freeman,79,1.793,"1,590",887,28.51,
169,169,Blaine McCallister,75,1.794,"1,609",897,26.20,
169,169,Jeff Brehaut,87,1.794,"1,893","1,055",27.66,
171,171,Jeff Maggert,83,1.795,"1,641",914,27.08,
171,171,John Senden,96,1.795,"2,026","1,129",29.26,
173,173,Russ Cochran,68,1.796,"1,417",789,26.72,
174,174,Tommy Armour III,82,1.797,"1,689",940,27.26,
174,174,Grant Waite,98,1.797,"2,040","1,135",27.89,
174,174,Brett Wetterich,89,1.797,"1,810","1,007",30.58,
177,177,Scott Simpson,61,1.799,"1,184",658,26.03,
178,178,Rory Sabbatini,69,1.800,"1,377",765,30.41,
178,178,Jess Daley,76,1.800,"1,573",874,26.89,
180,180,Spike McRoy,69,1.801,"1,441",800,25.50,
181,181,Paul Gow,99,1.802,"2,031","1,127",26.76,
182,182,Jerry Smith,91,1.803,"1,725",957,26.33,
183,183,Brian Bateman,94,1.804,"1,943","1,077",28.68,
183,183,J.J. Henry,112,1.804,"2,409","1,335",25.17,
185,185,Kevin Sutherland,96,1.805,"1,944","1,077",25.65,
186,186,Michael Allen,76,1.806,"1,463",810,27.10,
187,187,Chris Smith,103,1.809,"2,238","1,237",29.23,
188,188,Pete Jordan,78,1.810,"1,578",872,25.11,
189,189,Tom Lehman,78,1.816,"1,564",861,24.42,
190,190,Brenden Pappas,62,1.817,"1,288",709,26.45,
191,191,Joe Durant,87,1.819,"1,886","1,037",25.70,
192,192,Kenneth Staton,104,1.822,"2,261","1,241",26.92,
193,193,Eduardo Herrera,59,1.823,"1,150",631,25.87,
194,194,Jason Hill,59,1.826,"1,258",689,25.91,
195,195,Richard Zokol,53,1.827,"1,014",555,24.37,
196,196,Brad Lardon,59,1.829,"1,244",680,23.82,
197,197,Scott Dunlap,74,1.833,"1,551",846,24.38,
198,198,Boo Weekley,57,1.836,"1,243",677,28.70,
199,199,Fulton Allem,64,1.844,"1,300",705,24.65,
200,200,Gary Nicklaus,66,1.848,"1,375",744,24.50,
201,201,Hal Sutton,74,1.849,"1,553",840,24.40,
202,202,Bradley Hughes,60,1.850,"1,356",733,25.14,
