RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS
137,137,Martin Flores,92,-.083,-5.990,72
137,137,Andrew Landry,82,-.083,-6.066,73
139,139,Sung Kang,89,-.094,-6.279,67
140,140,Keith Mitchell,99,-.128,-10.604,83
141,141,Pat Perez,82,-.138,-7.014,51
142,147,Jason Day,75,-.140,-6.881,49
143,142,Brice Garnett,99,-.144,-11.631,81
144,143,Hunter Mahan,67,-.149,-7.618,51
145,144,Rory Sabbatini,91,-.152,-11.370,75
146,145,Danny Lee,88,-.155,-10.833,70
147,146,David Lingmerth,82,-.160,-11.056,69
148,148,Stephan Jaeger,81,-.166,-10.463,63
149,149,Charl Schwartzel,65,-.168,-7.066,42
150,150,Richy Werenski,98,-.169,-12.492,74
150,150,Alex Cejka,77,-.169,-10.134,60
152,152,Billy Hurley III,70,-.170,-9.702,57
153,153,"Ted Potter, Jr.",87,-.200,-15.397,77
153,153,Si Woo Kim,108,-.200,-15.615,78
155,155,Michael Kim,74,-.213,-11.479,54
156,156,Hudson Swafford,73,-.237,-12.304,52
157,157,Tom Lovelady,87,-.240,-16.552,69
158,158,Kiradech Aphibarnrat,51,-.247,-8.414,34
159,159,Dominic Bozzelli,65,-.252,-15.368,61
160,160,Xinjun Zhang,81,-.254,-14.482,57
161,161,Peter Malnati,87,-.257,-19.308,75
162,162,Louis Oosthuizen,62,-.261,-12.017,46
163,163,Adam Schenk,86,-.262,-17.281,66
164,164,Zecheng Dou,53,-.265,-9.543,36
165,165,Scott Brown,102,-.270,-21.856,81
166,166,Satoshi Kodaira,51,-.284,-11.356,40
167,167,Anirban Lahiri,82,-.285,-19.078,67
168,168,Harris English,84,-.297,-20.204,68
169,169,Kevin Kisner,89,-.316,-20.525,65
170,170,Patrick Rodgers,97,-.323,-23.590,73
171,171,Grayson Murray,72,-.347,-20.449,59
171,171,Denny McCarthy,71,-.347,-17.001,49
173,173,Derek Fathauer,84,-.365,-24.809,68
174,174,Nicholas Lindheim,77,-.368,-21.726,59
175,175,J.T. Poston,73,-.373,-21.251,57
176,176,Ben Silverman,90,-.385,-29.251,76
177,177,Matt Jones,70,-.386,-18.132,47
178,178,Seamus Power,86,-.392,-25.849,66
179,179,Beau Hossler,104,-.395,-35.520,90
180,180,Rod Pampling,62,-.415,-18.676,45
181,181,Michael Thompson,62,-.423,-23.683,56
182,182,Ethan Tracy,72,-.424,-22.874,54
183,183,Trey Mullinax,75,-.442,-26.106,59
184,184,Andrew Yun,51,-.447,-15.195,34
185,185,Jonathan Randolph,71,-.538,-32.309,60
186,186,D.A. Points,63,-.541,-25.971,48
187,187,Jonas Blixt,67,-.563,-27.030,48
188,188,Roberto Díaz,72,-.600,-33.574,56
189,189,Cody Gribble,71,-.696,-37.606,54
190,190,Martin Piller,79,-.811,-54.362,67
191,191,Matt Atkins,56,-1.039,-41.550,40
192,192,Greg Chalmers,56,-1.192,-48.882,41
193,194,Daniel Summerhays,51,-1.586,-60.269,38
