RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION,GIR RANK
30,30,Brent Geiberger,51,1.747,"1,038",594,31.81,
33,35,Tom Pernice Jr.,105,1.748,"2,057","1,177",31.54,
33,35,Loren Roberts,87,1.748,"1,690",967,28.65,
35,37,Brenden Pappas,105,1.749,"2,158","1,234",32.98,
36,39,Ben Crane,94,1.750,"1,859","1,062",31.86,
37,40,Luke Donald,88,1.752,"1,817","1,037",29.79,
37,40,Geoff Ogilvy,86,1.752,"1,677",957,33.79,
37,40,John Rollins,89,1.752,"1,638",935,33.19,
37,30,Stuart Appleby,90,1.752,"1,752","1,000",32.43,
37,27,Davis Love III,85,1.752,"1,684",961,32.64,
42,43,Brian Gay,100,1.753,"1,912","1,091",29.91,
43,45,Paul Stankowski,67,1.754,"1,466",836,32.01,
43,45,Bob Estes,92,1.754,"1,928","1,099",30.45,
45,47,Dicky Pride,73,1.755,"1,483",845,29.86,
46,37,Steve Flesch,110,1.756,"2,223","1,266",32.04,
47,43,Brad Faxon,97,1.757,"1,862","1,060",30.15,
47,48,Scott Laycock,71,1.757,"1,362",775,30.71,
49,49,Brian Henninger,56,1.758,"1,109",631,29.16,
50,51,Hank Kuehne,73,1.759,"1,441",819,34.23,
51,54,Garrett Willis,97,1.761,"1,925","1,093",31.46,
51,54,Cameron Beckman,86,1.761,"1,772","1,006",31.31,
51,54,Matt Gogel,77,1.761,"1,449",823,30.37,
54,57,Craig Barlow,95,1.762,"1,972","1,119",32.50,
54,57,Mark Brooks,90,1.762,"1,683",955,28.48,
54,57,Patrick Sheehan,101,1.762,"2,017","1,145",31.17,
57,61,Jason Gore,83,1.763,"1,597",906,32.74,
57,61,Woody Austin,107,1.763,"2,211","1,254",32.05,
59,63,Frank Lickliter II,94,1.764,"1,857","1,053",30.25,
59,63,Aaron Barber,94,1.764,"1,948","1,104",28.77,
61,66,Kent Jones,74,1.765,"1,490",844,31.24,
61,57,Ernie Els,65,1.765,"1,306",740,30.53,
63,67,Kevin Sutherland,97,1.766,"2,006","1,136",29.28,
63,52,Jerry Kelly,108,1.766,"2,234","1,265",30.98,
63,67,Dean Wilson,82,1.766,"1,639",928,29.91,
66,69,Brett Quigley,92,1.767,"1,822","1,031",30.29,
66,69,Jeff Maggert,81,1.767,"1,680",951,30.17,
66,69,Len Mattiace,94,1.767,"1,818","1,029",27.49,
69,72,Olin Browne,113,1.768,"2,297","1,299",28.81,
69,72,Carl Paulson,101,1.768,"2,132","1,206",30.28,
69,78,Chad Campbell,105,1.768,"2,330","1,318",30.60,
69,72,Andy Miller,75,1.768,"1,473",833,31.37,
73,75,Richard Johnson,89,1.769,"1,790","1,012",27.99,
73,49,Darren Clarke,61,1.769,"1,095",619,32.90,
73,75,Hidemichi Tanaka,112,1.769,"2,434","1,376",28.80,
76,84,Retief Goosen,69,1.770,"1,423",804,32.88,
76,78,Tim Clark,79,1.770,"1,595",901,28.81,
76,78,Harrison Frazar,88,1.770,"1,828","1,033",30.49,
79,81,Pat Perez,95,1.771,"1,844","1,041",29.28,
80,84,Jonathan Byrd,101,1.772,"2,054","1,159",32.44,
80,84,Mike Sposa,72,1.772,"1,409",795,29.62,
80,84,Lee Janzen,83,1.772,"1,650",931,29.20,
80,84,"Dave Stockton, Jr.",79,1.772,"1,515",855,29.78,
84,89,John Riegger,55,1.773,"1,108",625,28.21,
84,89,Duffy Waldorf,90,1.773,"1,871","1,055",30.39,
84,63,David Toms,90,1.773,"1,757",991,30.16,
84,89,Steve Lowery,86,1.773,"1,654",933,31.18,
84,89,Donnie Hammond,92,1.773,"1,895","1,069",27.62,
84,89,Peter Jacobsen,75,1.773,"1,605",905,29.65,
90,81,Robert Allenby,87,1.774,"1,770",998,32.23,
90,95,Kenichi Kuboya,91,1.774,"1,795","1,012",29.50,
92,96,Jesper Parnevik,102,1.775,"2,061","1,161",29.02,
92,96,Dudley Hart,66,1.775,"1,333",751,28.13,
94,81,Kirk Triplett,92,1.776,"1,961","1,104",30.22,
94,75,Bob Tway,89,1.776,"1,895","1,067",29.30,
94,98,Shigeki Maruyama,87,1.776,"1,764",993,28.72,
97,99,Michael Clark II,54,1.777,"1,121",631,29.32,
97,99,Tommy Armour III,66,1.777,"1,331",749,29.49,
97,52,Nick Price,65,1.777,"1,253",705,29.63,
97,99,Rocco Mediate,80,1.777,"1,637",921,28.91,
97,103,Charles Howell III,120,1.777,"2,496","1,405",29.74,
102,89,Fred Funk,112,1.778,"2,345","1,319",28.04,
102,103,Arron Oberholser,80,1.778,"1,664",936,28.74,
104,105,John Maginnes,87,1.779,"1,745",981,27.40,
105,106,Esteban Toledo,109,1.780,"2,238","1,257",28.45,
106,107,Hal Sutton,81,1.781,"1,763",990,28.01,
106,99,Briny Baird,113,1.781,"2,522","1,416",29.39,
108,108,Alex Cejka,98,1.782,"1,948","1,093",29.72,
108,108,Tom Byrum,97,1.782,"1,944","1,091",27.86,
108,108,Tom Lehman,87,1.782,"1,832","1,028",30.21,
108,108,Paul Gow,62,1.782,"1,269",712,28.49,
112,112,Heath Slocum,101,1.783,"2,113","1,185",28.80,
112,112,Andrew Magee,91,1.783,"1,920","1,077",28.72,
112,112,Billy Mayfair,105,1.783,"2,239","1,256",28.51,
112,112,Steve Stricker,59,1.783,"1,077",604,30.02,
112,112,Cliff Kresge,102,1.783,"2,109","1,183",29.36,
112,112,Mike Heinen,89,1.783,"1,951","1,094",31.32,
118,118,Jay Don Blake,77,1.784,"1,525",855,28.22,
119,119,John Daly,56,1.785,"1,128",632,31.11,
119,119,Peter Lonard,96,1.785,"1,858","1,041",29.23,
121,121,Anthony Painter,87,1.787,"1,637",916,28.65,
121,121,Jeff Sluman,106,1.787,"2,300","1,287",28.85,
121,121,David Gossett,92,1.787,"2,001","1,120",29.60,
124,124,Rory Sabbatini,95,1.788,"1,908","1,067",30.98,
124,124,Akio Sadakata,83,1.788,"1,706",954,28.23,
124,124,Joel Edwards,60,1.788,"1,243",695,26.26,
124,124,Paul Azinger,73,1.788,"1,498",838,26.97,
124,124,David Peoples,96,1.788,"2,121","1,186",27.66,
124,124,Tom Gillis,71,1.788,"1,479",827,27.55,
130,131,Kaname Yokoo,56,1.789,"1,025",573,27.15,
131,133,José Coceres,62,1.790,"1,208",675,28.87,
131,131,Kenny Perry,98,1.790,"2,128","1,189",29.32,
131,133,Corey Pavin,88,1.790,"1,683",940,26.65,
131,133,Bernhard Langer,65,1.790,"1,285",718,26.50,
131,133,Dan Forsman,98,1.790,"2,270","1,268",27.33,
131,133,Neal Lancaster,110,1.790,"2,287","1,278",28.66,
131,133,Cameron Yancey,58,1.790,"1,038",580,30.40,
138,139,Mark Wilson,82,1.791,"1,642",917,26.64,
138,124,J.L. Lewis,99,1.791,"2,061","1,151",29.53,
140,140,Mark O'Meara,69,1.792,"1,292",721,28.02,
140,140,Craig Perks,82,1.792,"1,609",898,29.80,
140,140,Robert Damron,96,1.792,"1,960","1,094",26.90,
140,140,Chris Anderson,96,1.792,"1,955","1,091",28.07,
144,144,Doug Barron,90,1.793,"1,789",998,28.82,
144,144,Per-Ulrik Johansson,96,1.793,"2,010","1,121",30.33,
144,144,Marco Dawson,86,1.793,"1,831","1,021",28.85,
144,144,Mike Grob,83,1.793,"1,750",976,27.34,
148,148,Joe Durant,96,1.794,"2,259","1,259",28.59,
148,148,Shaun Micheel,97,1.794,"2,088","1,164",28.68,
148,148,Notah Begay III,92,1.794,"1,846","1,029",28.02,
151,151,Vance Veazey,66,1.795,"1,330",741,28.38,
151,151,Ben Curtis,69,1.795,"1,416",789,26.62,
153,153,Adam Scott,52,1.796,923,514,28.79,
153,153,Jonathan Kaye,91,1.796,"1,920","1,069",29.59,
153,153,Pat Bates,111,1.796,"2,356","1,312",27.48,
156,156,Brian Bateman,70,1.797,"1,439",801,29.09,
156,156,Glen Hnatiuk,92,1.797,"1,908","1,062",26.01,
156,156,Rich Beem,80,1.797,"1,574",876,29.70,
156,156,Darron Stiles,93,1.797,"1,871","1,041",30.09,
156,156,Ty Tryon,52,1.797,929,517,30.04,
161,161,Brandt Jobe,77,1.798,"1,688",939,28.57,
162,162,Jim Carter,95,1.799,"1,880","1,045",26.85,
163,164,Spike McRoy,103,1.800,"2,243","1,246",26.93,
163,164,Carlos Franco,99,1.800,"2,153","1,196",28.62,
165,166,Bob Burns,88,1.801,"1,731",961,26.99,
165,162,K.J. Choi,112,1.801,"2,248","1,248",29.33,
167,167,Jeff Brehaut,110,1.802,"2,382","1,322",29.26,
168,168,Jason Buha,61,1.803,"1,206",669,27.35,
169,170,Brent Schwarzrock,60,1.804,"1,227",680,30.88,
169,170,John Senden,111,1.804,"2,408","1,335",29.16,
171,172,Todd Barranger,78,1.806,"1,459",808,31.35,
171,172,Matt Kuchar,63,1.806,"1,244",689,27.43,
173,174,Steve Allan,53,1.807,972,538,26.77,
173,174,Joey Sindelar,93,1.807,"2,047","1,133",26.24,
175,176,Jay Williamson,93,1.808,"1,907","1,055",25.83,
175,176,Steven Alker,87,1.808,"1,683",931,25.00,
175,176,Sergio Garcia,62,1.808,"1,226",678,29.46,
178,179,Brad Elder,51,1.809,"1,011",559,25.04,
178,179,Chris Smith,92,1.809,"2,066","1,142",28.27,
180,181,Jason Caron,74,1.810,"1,426",788,27.66,
181,182,John Morgan,81,1.811,"1,608",888,29.38,
182,183,J.J. Henry,100,1.812,"2,155","1,189",26.67,
183,184,David Sutherland,77,1.814,"1,640",904,29.27,
184,185,Ian Leggatt,71,1.815,"1,508",831,27.42,
185,186,Gene Sauers,87,1.816,"1,771",975,26.28,
186,187,Thomas Levet,85,1.817,"1,835","1,010",25.97,
187,188,Mathew Goggin,90,1.823,"1,892","1,038",27.41,
188,190,Gavin Coles,69,1.833,"1,303",711,21.83,
189,191,Jeff Klein,60,1.837,"1,115",607,23.80,
189,191,Kenneth Staton,59,1.837,"1,240",675,24.85,
