RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,# SAVES,# BUNKERS,TOTAL O/U PAR
42,41,Craig Bowden,83,53.06,78,147,+63.00
43,43,Craig Barlow,80,52.94,72,136,+40.00
44,44,Brad Faxon,94,52.90,82,155,+63.00
45,45,Carl Pettersson,100,52.87,83,157,+38.00
46,53,Jerry Kelly,113,52.80,85,161,+52.00
47,46,Brett Quigley,102,52.74,77,146,+40.00
48,47,Jason Dufner,79,52.54,62,118,+51.00
49,48,Tom Byrum,83,52.48,74,141,+53.00
50,49,Neal Lancaster,106,52.44,86,164,+49.00
51,50,Dean Wilson,99,52.38,88,168,+42.00
52,52,Mark Calcavecchia,79,52.27,69,132,+45.00
53,54,Brian Gay,96,52.17,84,161,+57.00
53,54,Daniel Chopra,108,52.17,96,184,+50.00
53,54,Luke Donald,72,52.17,60,115,+25.00
56,57,Brian Kortan,65,52.13,49,94,+24.00
57,58,Jesper Parnevik,86,51.92,81,156,+32.00
58,59,Bob Burns,88,51.88,69,133,+49.00
59,60,Davis Love III,85,51.85,70,135,+28.00
60,61,Esteban Toledo,92,51.76,88,170,+66.00
61,62,Harrison Frazar,86,51.69,61,118,+29.00
62,63,Paul Azinger,75,51.66,78,151,+59.00
63,64,Chris Riley,78,51.63,79,153,+38.00
64,65,Lee Janzen,84,51.54,67,130,+34.00
65,80,Stuart Appleby,84,51.41,73,142,+45.00
66,66,Ryan Palmer,103,51.31,98,191,+68.00
67,67,Jay Delsing,76,51.30,59,115,+41.00
68,68,José María Olazábal,56,51.22,42,82,+34.00
68,68,Scott Simpson,55,51.22,42,82,+31.00
70,70,Pat Perez,102,51.10,93,182,+56.00
71,71,Arron Oberholser,77,50.93,55,108,+36.00
72,73,Aaron Baddeley,87,50.87,88,173,+48.00
73,72,Vijay Singh,112,50.86,89,175,+29.00
74,74,Richard Johnson,102,50.82,93,183,+59.00
75,75,Alex Cejka,76,50.70,72,142,+44.00
76,77,John Senden,99,50.62,82,162,+36.00
77,93,Chris DiMarco,105,50.60,84,166,+54.00
78,78,Billy Andrade,104,50.54,93,184,+52.00
79,79,Craig Perks,75,50.45,56,111,+44.00
80,81,John Cook,57,50.00,39,78,+33.00
80,81,Scott Hoch,52,50.00,43,86,+26.00
80,81,David Peoples,82,50.00,57,114,+32.00
83,85,Robert Damron,92,49.70,82,165,+58.00
84,86,Kevin Na,100,49.69,81,163,+43.00
85,87,Billy Mayfair,109,49.68,77,155,+47.00
86,88,Scott McCarron,88,49.66,72,145,+50.00
87,89,D.J. Brigman,79,49.61,63,127,+35.00
88,90,Jeff Maggert,60,49.54,54,109,+32.00
89,91,Justin Rose,77,49.43,43,87,+25.00
90,92,Tag Ridings,53,49.38,40,81,+20.00
91,76,Shigeki Maruyama,93,49.37,78,158,+63.00
92,94,Brent Geiberger,94,49.32,72,146,+51.00
93,95,Roger Tambellini,81,49.26,67,136,+41.00
94,96,Kirk Triplett,88,49.25,66,134,+47.00
95,97,David Morland IV,73,49.24,65,132,+53.00
96,99,Tim Petrovic,111,49.19,91,185,+53.00
97,100,J.L. Lewis,106,49.07,79,161,+50.00
98,81,Steve Flesch,109,48.99,97,198,+80.00
99,101,Steve Elkington,64,48.96,47,96,+36.00
100,102,Scott Hend,81,48.95,70,143,+51.00
101,103,Michael Allen,87,48.94,69,141,+41.00
102,104,Charles Howell III,104,48.90,89,182,+48.00
103,98,Rory Sabbatini,89,48.85,64,131,+35.00
103,105,Steve Allan,102,48.85,85,174,+58.00
105,106,Steve Stricker,81,48.84,63,129,+60.00
106,107,Brian Bateman,84,48.53,66,136,+46.00
107,108,Steve Pate,71,48.46,63,130,+33.00
108,109,Lucas Glover,95,48.41,76,157,+42.00
109,110,Skip Kendall,99,48.28,84,174,+67.00
110,111,Robert Gamez,103,48.26,83,172,+80.00
111,113,Sergio Garcia,65,48.15,52,108,+28.00
111,112,Mark Wilson,62,48.15,39,81,+25.00
113,114,Ken Duke,89,47.95,70,146,+60.00
114,125,Ernie Els,62,47.87,45,94,+38.00
115,115,Olin Browne,92,47.79,54,113,+57.00
116,116,Tim Herron,84,47.76,64,134,+42.00
117,117,David Gossett,57,47.75,53,111,+45.00
118,118,Joe Ogilvie,104,47.73,84,176,+74.00
118,118,Bernhard Langer,59,47.73,42,88,+37.00
120,120,Andre Stolz,53,47.71,52,109,+52.00
121,121,Glen Day,101,47.51,86,181,+58.00
122,123,Cameron Beckman,99,47.29,61,129,+36.00
123,124,Shaun Micheel,93,47.20,59,125,+50.00
124,126,Peter Lonard,68,47.11,57,121,+44.00
125,130,Carlos Franco,99,47.10,65,138,+36.00
126,122,Scott Verplank,92,47.06,64,136,+60.00
126,127,Fred Couples,54,47.06,40,85,+21.00
128,128,Kevin Muncrief,50,46.99,39,83,+44.00
129,129,Bob Tway,90,46.94,69,147,+64.00
130,131,Woody Austin,94,46.85,67,143,+49.00
131,132,Todd Fischer,104,46.75,79,169,+64.00
132,134,Matt Kuchar,83,46.61,55,118,+44.00
133,135,Ted Purdy,114,46.58,75,161,+51.00
134,136,Kent Jones,99,46.53,67,144,+55.00
135,137,Robert Allenby,93,46.51,60,129,+41.00
136,138,Jeff Brehaut,106,46.36,70,151,+55.00
137,164,Darren Clarke,54,46.24,43,93,+45.00
138,139,J.P. Hayes,79,46.22,55,119,+50.00
139,133,Chad Campbell,100,46.10,71,154,+44.00
139,140,John Rollins,90,46.10,65,141,+52.00
141,141,Jeff Sluman,98,45.95,68,148,+49.00
142,150,Kenny Perry,79,45.83,55,120,+37.00
142,163,K.J. Choi,83,45.83,66,144,+48.00
142,142,Hunter Mahan,94,45.83,77,168,+62.00
145,143,Spike McRoy,93,45.78,76,166,+66.00
146,144,Russ Cochran,61,45.74,43,94,+38.00
147,145,Cliff Kresge,89,45.66,79,173,+64.00
148,146,Danny Briggs,85,45.63,47,103,+48.00
149,147,Dudley Hart,60,45.61,52,114,+39.00
150,152,Zach Johnson,109,45.25,81,179,+70.00
151,148,Rocco Mediate,53,45.00,36,80,+22.00
152,149,Pat Bates,99,44.97,67,149,+65.00
153,151,Bob Estes,73,44.76,47,105,+43.00
154,153,Todd Hamilton,92,44.58,74,166,+71.00
155,154,Notah Begay III,71,44.21,42,95,+40.00
156,155,Deane Pappas,72,44.14,49,111,+37.00
157,156,Tom Lehman,70,44.05,37,84,+24.00
158,157,Mathias Grönberg,91,43.95,69,157,+51.00
159,158,Hirofumi Miyase,65,43.90,54,123,+48.00
159,158,Freddie Jacobson,83,43.90,54,123,+45.00
161,160,Grant Waite,79,43.80,53,121,+55.00
162,161,Steve Lowery,91,43.79,67,153,+69.00
163,162,Tripp Isenhour,55,43.75,35,80,+37.00
164,165,Tommy Armour III,87,43.62,65,149,+63.00
165,166,Mark Brooks,72,43.55,54,124,+67.00
165,166,Tommy Tolles,67,43.55,54,124,+52.00
167,168,Arjun Atwal,85,43.51,67,154,+59.00
168,169,David Branshaw,84,43.22,51,118,+44.00
169,170,Bo Van Pelt,107,43.13,69,160,+61.00
170,171,Patrick Sheehan,113,43.02,77,179,+81.00
171,172,Tom Carter,113,42.70,79,185,+74.00
172,173,Gene Sauers,83,42.67,64,150,+70.00
173,174,Guy Boros,64,42.48,48,113,+55.00
174,175,Blaine McCallister,68,42.34,47,111,+54.00
175,176,Roland Thatcher,66,42.27,41,97,+31.00
176,177,Jonathan Kaye,79,42.19,54,128,+46.00
177,178,Ben Curtis,56,42.17,35,83,+40.00
178,179,Briny Baird,100,42.11,64,152,+54.00
179,180,Jason Bohn,98,41.96,60,143,+48.00
180,181,Kris Cox,73,41.91,57,136,+56.00
181,182,Vaughn Taylor,84,41.86,54,129,+60.00
182,183,J.J. Henry,103,41.73,58,139,+46.00
183,184,Joe Durant,85,41.67,45,108,+41.00
184,185,Hidemichi Tanaka,89,41.61,57,137,+61.00
185,186,Dicky Pride,66,41.51,44,106,+53.00
186,187,Dan Olsen,75,41.44,46,111,+60.00
187,188,Duffy Waldorf,79,41.35,43,104,+39.00
188,189,Frank Lickliter II,89,40.77,53,130,+70.00
189,190,Niclas Fasth,61,40.74,44,108,+46.00
190,191,Bart Bryant,73,40.38,42,104,+39.00
191,192,John Riegger,53,39.58,38,96,+35.00
192,193,Rich Barcelo,67,35.29,36,102,+45.00
193,194,Joey Sindelar,100,35.11,46,131,+61.00
194,195,Chris Couch,55,34.21,39,114,+77.00
195,196,Chris Smith,105,33.16,64,193,+98.00
196,197,Mike Heinen,53,31.82,28,88,+47.00
