RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS
120,121,Daniel Chopra,108,-.046,-4.215,92
121,122,Matt Gogel,86,-.050,-3.486,70
122,123,Jay Williamson,100,-.053,-4.746,90
122,123,Dennis Paulson,71,-.053,-3.490,66
122,123,John Rollins,90,-.053,-3.803,72
125,126,Roland Thatcher,66,-.057,-3.449,61
126,127,Steve Allan,102,-.058,-5.077,88
127,128,Billy Mayfair,109,-.060,-5.601,93
128,129,Harrison Frazar,86,-.064,-4.539,71
129,130,Joe Ogilvie,104,-.068,-5.743,85
130,131,Glen Day,101,-.072,-6.302,88
130,132,Mark Hensby,97,-.072,-5.911,82
132,133,Mark Wilson,62,-.078,-4.537,58
133,134,Steve Pate,71,-.081,-4.929,61
134,135,Jason Dufner,79,-.087,-6.285,72
135,136,Craig Perks,75,-.091,-5.762,63
136,137,Gene Sauers,83,-.097,-7.099,73
136,137,Arjun Atwal,85,-.097,-7.282,75
138,139,Mathias Grönberg,91,-.102,-7.539,74
139,140,Rich Beem,81,-.110,-6.708,61
140,141,Rich Barcelo,67,-.111,-6.538,59
140,141,Skip Kendall,99,-.111,-8.851,80
142,143,Tommy Tolles,67,-.120,-7.346,61
143,144,Kevin Sutherland,86,-.137,-9.191,67
144,145,J.P. Hayes,79,-.140,-8.950,64
145,146,Tim Petrovic,111,-.146,-12.711,87
146,147,Craig Bowden,83,-.149,-11.155,75
147,148,Brenden Pappas,111,-.154,-15.229,99
148,149,Tripp Isenhour,55,-.158,-7.418,47
149,150,Jeff Brehaut,106,-.161,-15.167,94
150,151,Cliff Kresge,89,-.169,-12.643,75
150,151,Jay Delsing,76,-.169,-10.826,64
150,151,Niclas Fasth,61,-.169,-8.770,52
153,154,Pat Bates,99,-.192,-17.242,90
154,155,Hunter Mahan,94,-.198,-16.444,83
155,156,Tag Ridings,53,-.209,-9.391,45
155,156,Jesper Parnevik,86,-.209,-15.477,74
157,158,Brent Geiberger,94,-.214,-17.974,84
158,159,Roger Tambellini,81,-.219,-15.348,70
159,160,Bob Burns,88,-.244,-18.998,78
160,161,Ben Crane,92,-.256,-20.724,81
161,162,Spike McRoy,93,-.264,-20.312,77
162,163,Dicky Pride,66,-.265,-15.644,59
163,164,Matt Kuchar,83,-.282,-21.701,77
164,165,Mike Heinen,53,-.284,-14.468,51
165,166,Danny Ellis,81,-.299,-20.607,69
166,167,Brian Bateman,84,-.302,-22.038,73
166,167,Tommy Armour III,87,-.302,-22.947,76
168,169,Hank Kuehne,91,-.304,-25.545,84
169,170,Grant Waite,79,-.314,-21.331,68
170,171,Kris Cox,73,-.319,-19.432,61
171,172,Deane Pappas,72,-.320,-20.474,64
172,173,Dean Wilson,99,-.341,-30.996,91
173,174,Jonathan Byrd,85,-.347,-25.349,73
174,175,Scott Hend,81,-.350,-24.504,70
174,175,Greg Chalmers,70,-.350,-22.738,65
176,177,Blaine McCallister,68,-.352,-21.811,62
177,178,Paul Azinger,75,-.353,-22.920,65
178,179,Mark O'Meara,58,-.369,-15.143,41
179,180,David Frost,78,-.390,-29.247,75
180,181,Guy Boros,64,-.403,-23.748,59
181,182,Scott Simpson,55,-.423,-21.577,51
182,183,Dan Olsen,75,-.424,-27.542,65
183,184,Kevin Muncrief,50,-.448,-20.143,45
184,185,Mark Brooks,72,-.471,-26.831,57
185,186,Ken Duke,89,-.488,-39.073,80
186,187,David Morland IV,73,-.512,-31.749,62
187,188,Andre Stolz,53,-.532,-25.532,48
188,189,Len Mattiace,75,-.611,-42.736,70
189,190,Esteban Toledo,92,-.639,-51.098,80
190,191,Dan Forsman,79,-.653,-43.078,66
191,192,Aaron Baddeley,87,-.679,-51.603,76
192,193,Hirofumi Miyase,65,-.716,-40.813,57
193,194,Tom Carter,113,-.760,-72.984,96
194,195,Brian Kortan,65,-.815,-46.433,57
195,196,Chris Couch,55,-1.088,-50.037,46
196,197,David Gossett,57,-1.484,-75.662,51
