RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG,GIR PUTTS,GREENS HIT,BIRDIE CONVERSION,GIR RANK
60,61,Matthew Fitzpatrick,54,1.751,"1,028",587,31.11,
62,69,Brooks Koepka,81,1.752,"1,633",932,33.58,
62,63,Adam Schenk,102,1.752,"2,164","1,235",31.68,
62,63,Sepp Straka,78,1.752,"1,568",895,33.30,
62,63,Jonas Blixt,82,1.752,"1,561",891,30.67,
66,67,Austin Cook,68,1.753,"1,327",757,32.58,
66,67,José de Jesús Rodríguez,67,1.753,"1,318",752,32.04,
66,63,Hideki Matsuyama,91,1.753,"1,927","1,099",33.42,
69,69,Chase Wright,75,1.754,"1,480",844,31.35,
69,69,Ryan Palmer,74,1.754,"1,424",812,33.25,
71,48,Marc Leishman,76,1.755,"1,529",871,32.45,
71,72,Johnson Wagner,64,1.755,"1,311",747,31.19,
71,72,Roberto Díaz,73,1.755,"1,367",779,30.32,
74,74,Pat Perez,68,1.756,"1,280",729,30.86,
74,74,Phil Mickelson,63,1.756,"1,217",693,32.90,
74,74,Cameron Smith,79,1.756,"1,489",848,31.72,
74,74,Tony Finau,89,1.756,"1,791","1,020",31.76,
74,74,Scott Stallings,82,1.756,"1,645",937,30.97,
79,79,Wes Roach,69,1.757,"1,348",767,29.50,
79,79,Chris Stroud,70,1.757,"1,235",703,29.51,
81,82,Matt Jones,88,1.758,"1,770","1,007",30.42,
81,82,Graeme McDowell,75,1.758,"1,456",828,29.63,
81,82,Brian Gay,93,1.758,"1,812","1,031",29.15,
81,82,Sergio Garcia,53,1.758,881,501,31.14,
81,82,Danny Lee,83,1.758,"1,711",973,31.75,
81,82,Andrew Landry,80,1.758,"1,572",894,30.87,
81,82,Joel Dahmen,100,1.758,"2,027","1,153",31.80,
88,79,Gary Woodland,87,1.759,"1,836","1,044",35.06,
88,89,Hank Lebioda,76,1.759,"1,534",872,31.53,
88,89,Charley Hoffman,74,1.759,"1,474",838,29.51,
91,91,Sam Saunders,78,1.760,"1,519",863,31.13,
91,98,Kevin Kisner,97,1.760,"1,825","1,037",29.53,
91,91,Richy Werenski,89,1.760,"1,734",985,29.66,
91,91,Brady Schnell,53,1.760,"1,042",592,28.40,
95,91,Jason Kokrak,94,1.761,"1,962","1,114",32.31,
95,97,Patrick Rodgers,55,1.761,"1,046",594,30.86,
97,98,Martin Trainer,63,1.762,"1,170",664,31.48,
97,98,Daniel Berger,70,1.762,"1,364",774,30.36,
97,98,Joaquin Niemann,98,1.762,"2,072","1,176",30.09,
97,98,Kiradech Aphibarnrat,65,1.762,"1,212",688,30.81,
97,98,Peter Uihlein,84,1.762,"1,633",927,31.35,
97,98,Billy Horschel,99,1.762,"1,973","1,120",29.73,
97,98,"Ted Potter, Jr.",73,1.762,"1,494",848,31.01,
97,91,Lucas Glover,94,1.762,"1,945","1,104",31.09,
97,98,Freddie Jacobson,53,1.762,"1,022",580,28.60,
106,108,Charles Howell III,94,1.763,"2,036","1,155",30.50,
106,107,Jonathan Byrd,55,1.763,"1,014",575,29.97,
108,108,Hunter Mahan,59,1.764,"1,279",725,29.36,
108,108,Harris English,97,1.764,"1,932","1,095",28.45,
110,111,Nick Watney,87,1.765,"1,809","1,025",31.31,
110,111,C.T. Pan,84,1.765,"1,671",947,28.98,
110,111,Talor Gooch,54,1.765,"1,200",680,31.22,
113,114,Brice Garnett,87,1.766,"1,879","1,064",29.50,
114,115,Brian Harman,91,1.767,"1,816","1,028",29.53,
114,115,Josh Teater,73,1.767,"1,502",850,29.80,
114,115,Kevin Na,65,1.767,"1,230",696,29.39,
114,115,Zach Johnson,64,1.767,"1,274",721,28.37,
114,115,Harold Varner III,84,1.767,"1,753",992,30.13,
114,115,Shawn Stefani,80,1.767,"1,691",957,29.77,
114,115,Tyrrell Hatton,62,1.767,"1,223",692,30.25,
121,122,Kevin Streelman,83,1.768,"1,798","1,017",29.26,
122,123,Stephan Jaeger,77,1.769,"1,491",843,29.57,
122,123,Max Homa,82,1.769,"1,659",938,29.76,
124,125,Mackenzie Hughes,80,1.770,"1,581",893,30.53,
125,126,Bronson Burgoon,59,1.771,"1,192",673,29.91,
125,126,Ryan Armour,92,1.771,"1,982","1,119",29.34,
127,128,Roberto Castro,76,1.772,"1,572",887,29.01,
128,129,Cameron Davis,76,1.773,"1,580",891,31.61,
129,130,J.J. Spaun,90,1.774,"1,790","1,009",29.99,
129,130,Keith Mitchell,86,1.774,"1,785","1,006",32.27,
129,130,Jhonattan Vegas,75,1.774,"1,593",898,31.54,
129,130,Chesson Hadley,76,1.774,"1,527",861,29.53,
133,134,Fabián Gómez,62,1.775,"1,349",760,28.50,
133,134,Trey Mullinax,77,1.775,"1,574",887,30.47,
133,134,Danny Willett,63,1.775,"1,333",751,29.47,
133,134,Kyoung-Hoon Lee,92,1.775,"1,816","1,023",29.93,
133,134,Byeong Hun An,80,1.775,"1,667",939,31.45,
138,140,Bill Haas,77,1.776,"1,426",803,29.18,
139,141,Sung Kang,86,1.777,"1,777","1,000",30.09,
139,141,Scott Brown,86,1.777,"1,745",982,29.04,
139,141,Carlos Ortiz,84,1.777,"1,779","1,001",28.86,
142,144,Dylan Frittelli,83,1.778,"1,769",995,28.51,
142,144,Jim Herman,52,1.778,"1,017",572,29.60,
144,146,Julián Etulain,70,1.779,"1,322",743,28.48,
144,146,Russell Knox,79,1.779,"1,592",895,28.11,
146,148,Kevin Tway,84,1.780,"1,718",965,29.25,
146,148,Whee Kim,73,1.780,"1,463",822,29.72,
146,148,Henrik Stenson,58,1.780,"1,059",595,28.24,
149,151,Russell Henley,78,1.781,"1,528",858,28.69,
150,134,Tommy Fleetwood,71,1.782,"1,374",771,29.00,
151,152,Satoshi Kodaira,67,1.783,"1,305",732,30.10,
151,152,Ben Silverman,70,1.783,"1,451",814,28.11,
153,154,Adam Svensson,73,1.784,"1,493",837,29.02,
153,154,Tyler Duncan,89,1.784,"1,825","1,023",27.14,
153,154,Robert Streb,80,1.784,"1,529",857,27.87,
156,157,Jim Furyk,73,1.785,"1,514",848,26.92,
157,158,Francesco Molinari,61,1.786,"1,104",618,27.23,
157,158,Luke List,66,1.786,"1,325",742,30.89,
157,158,J.B. Holmes,78,1.786,"1,497",838,30.98,
157,158,Kramer Hickok,79,1.786,"1,661",930,28.83,
161,162,Joey Garber,63,1.787,"1,217",681,27.35,
161,162,Cameron Champ,78,1.787,"1,694",948,32.98,
161,162,Kyle Stanley,81,1.787,"1,649",923,27.97,
161,162,Martin Laird,88,1.787,"1,798","1,006",29.24,
165,167,Alex Noren,63,1.789,"1,261",705,28.37,
165,167,Keegan Bradley,89,1.789,"1,809","1,011",29.17,
167,169,Emiliano Grillo,85,1.790,"1,727",965,29.73,
167,162,Corey Conners,90,1.790,"2,025","1,131",28.58,
167,169,Sangmoon Bae,60,1.790,"1,126",629,30.21,
170,171,Adam Long,76,1.791,"1,599",893,26.55,
170,171,Jim Knous,57,1.791,"1,157",646,28.11,
172,173,Tom Hoge,98,1.793,"1,911","1,066",28.33,
173,174,Branden Grace,76,1.794,"1,451",809,28.32,
173,174,Seamus Power,80,1.794,"1,446",806,28.21,
173,174,Jimmy Walker,74,1.794,"1,546",862,27.44,
173,174,Ernie Els,51,1.794,"1,008",562,26.87,
177,178,Seth Reeves,73,1.795,"1,447",806,29.14,
178,179,Jason Dufner,74,1.796,"1,647",917,28.52,
179,180,Alex Cejka,58,1.798,"1,043",580,24.87,
179,180,Michael Kim,61,1.798,"1,147",638,26.53,
181,183,Kyle Jones,72,1.801,"1,412",784,26.25,
182,185,Rod Pampling,56,1.803,"1,080",599,25.59,
183,186,Alex Prugh,77,1.804,"1,647",913,27.06,
184,187,John Chin,58,1.805,"1,206",668,28.64,
185,188,Anders Albertson,68,1.806,"1,409",780,28.24,
186,189,Bubba Watson,65,1.811,"1,262",697,30.89,
187,190,Brendan Steele,68,1.812,"1,415",781,28.17,
188,192,J.J. Henry,58,1.856,"1,158",624,19.74,
